datetime,lat,lon,time,label
2016-09-11 15:00:44,43.274935,5.388798,1473598844,2
2016-09-11 15:01:44,43.274378,5.385341,1473598904,2
2016-09-11 15:02:46,43.277062,5.382881,1473598966,2
2016-09-11 15:04:09,43.276387,5.378305,1473599049,2
2016-09-11 15:04:44,43.275957,5.379668,1473599084,2
2016-09-11 15:06:44,43.275755,5.379678,1473599204,2
2016-09-11 15:06:59,43.275719,5.379698,1473599219,2
2016-09-11 15:07:59,43.275925,5.379716,1473599279,2
2016-09-11 15:09:00,43.275896,5.379742,1473599340,2
2016-09-11 15:09:59,43.275704,5.379685,1473599399,2
2016-09-11 15:11:44,43.275689,5.379683,1473599504,2
2016-09-11 15:11:59,43.275725,5.379628,1473599519,2
2016-09-11 15:13:01,43.275728,5.379666,1473599581,2
2016-09-11 15:15:01,43.275686,5.37973,1473599701,2
2016-09-11 15:15:39,43.275725,5.379661,1473599739,2
2016-09-11 15:17:00,43.275679,5.379699,1473599820,2
2016-09-11 15:18:09,43.275698,5.379774,1473599889,2
2016-09-11 15:18:36,43.275698,5.379774,1473599916,1
2016-09-11 15:19:37,43.275727,5.379698,1473599977,2
2016-09-11 15:21:22,43.27678,5.381933,1473600082,2
2016-09-11 15:21:59,43.278621,5.382281,1473600119,2
2016-09-11 15:22:37,43.278823,5.381191,1473600157,2
2016-09-11 15:23:37,43.280169,5.376263,1473600217,2
2016-09-11 15:24:37,43.28073,5.375685,1473600277,2
2016-09-11 15:25:37,43.280733,5.375376,1473600337,2
2016-09-11 15:26:59,43.280732,5.375375,1473600419,2
2016-09-11 15:27:37,43.280733,5.375375,1473600457,2
2016-09-11 15:28:37,43.280734,5.375376,1473600517,2
2016-09-11 15:30:01,43.280743,5.375746,1473600601,2
2016-09-11 15:30:37,43.280632,5.376323,1473600637,2
2016-09-11 15:31:59,43.280938,5.375866,1473600719,2
2016-09-11 15:32:39,43.280938,5.375866,1473600759,1
2016-09-11 15:34:01,43.280807,5.375523,1473600841,2
2016-09-11 15:34:40,43.280723,5.375244,1473600880,2
2016-09-11 15:35:40,43.280575,5.376081,1473600940,2
2016-09-11 15:36:48,43.28136,5.375238,1473601008,2
2016-09-11 15:38:27,43.281948,5.373406,1473601107,2
2016-09-11 15:39:19,43.281224,5.373383,1473601159,2
2016-09-11 15:40:17,43.280742,5.374294,1473601217,2
2016-09-11 15:41:59,43.280787,5.37426,1473601319,2
2016-09-11 15:42:17,43.280766,5.374262,1473601337,2
2016-09-11 15:42:46,43.280766,5.374262,1473601366,1
2016-09-11 15:45:16,43.280541,5.375079,1473601516,2
2016-09-11 15:46:09,43.281772,5.374514,1473601569,2
2016-09-11 15:47:09,43.282569,5.372402,1473601629,2
2016-09-11 15:48:34,43.283265,5.367736,1473601714,2
2016-09-11 15:49:07,43.285051,5.368403,1473601747,2
2016-09-11 15:50:07,43.28785,5.36661,1473601807,2
2016-09-11 15:51:07,43.288179,5.364029,1473601867,2
